"value","description","date","geography","sex","age","source_file"
77664,"diagnostics pathway waiting up to 8 weeks",2025-03-01,"wales","persons","all ages","diagnostic_pathway_waiting_times.csv"
77344,"diagnostics pathway waiting up to 8 weeks",2025-04-01,"wales","persons","all ages","diagnostic_pathway_waiting_times.csv"
73885,"diagnostics pathway waiting up to 8 weeks",2025-05-01,"wales","persons","all ages","diagnostic_pathway_waiting_times.csv"
78661,"diagnostics pathway waiting up to 8 weeks",2025-06-01,"wales","persons","all ages","diagnostic_pathway_waiting_times.csv"
81459,"diagnostics pathway waiting up to 8 weeks",2025-07-01,"wales","persons","all ages","diagnostic_pathway_waiting_times.csv"
76718,"diagnostics pathway waiting up to 8 weeks",2025-08-01,"wales","persons","all ages","diagnostic_pathway_waiting_times.csv"
81413,"diagnostics pathway waiting up to 8 weeks",2025-09-01,"wales","persons","all ages","diagnostic_pathway_waiting_times.csv"
89212,"diagnostics pathway waiting up to 8 weeks",2025-10-01,"wales","persons","all ages","diagnostic_pathway_waiting_times.csv"
92686,"diagnostics pathway waiting up to 8 weeks",2025-11-01,"wales","persons","all ages","diagnostic_pathway_waiting_times.csv"
90528,"diagnostics pathway waiting up to 8 weeks",2025-12-01,"wales","persons","all ages","diagnostic_pathway_waiting_times.csv"
3992,"diagnostics pathway waiting over 8 weeks",2019-01-01,"wales","persons","all ages","diagnostic_pathway_waiting_times.csv"
3458,"diagnostics pathway waiting over 8 weeks",2019-02-01,"wales","persons","all ages","diagnostic_pathway_waiting_times.csv"
2781,"diagnostics pathway waiting over 8 weeks",2019-03-01,"wales","persons","all ages","diagnostic_pathway_waiting_times.csv"
3271,"diagnostics pathway waiting over 8 weeks",2019-04-01,"wales","persons","all ages","diagnostic_pathway_waiting_times.csv"
3731,"diagnostics pathway waiting over 8 weeks",2019-05-01,"wales","persons","all ages","diagnostic_pathway_waiting_times.csv"
3337,"diagnostics pathway waiting over 8 weeks",2019-06-01,"wales","persons","all ages","diagnostic_pathway_waiting_times.csv"
4158,"diagnostics pathway waiting over 8 weeks",2019-07-01,"wales","persons","all ages","diagnostic_pathway_waiting_times.csv"
5091,"diagnostics pathway waiting over 8 weeks",2019-08-01,"wales","persons","all ages","diagnostic_pathway_waiting_times.csv"
4633,"diagnostics pathway waiting over 8 weeks",2019-09-01,"wales","persons","all ages","diagnostic_pathway_waiting_times.csv"
3881,"diagnostics pathway waiting over 8 weeks",2019-10-01,"wales","persons","all ages","diagnostic_pathway_waiting_times.csv"
3883,"diagnostics pathway waiting over 8 weeks",2019-11-01,"wales","persons","all ages","diagnostic_pathway_waiting_times.csv"
4902,"diagnostics pathway waiting over 8 weeks",2019-12-01,"wales","persons","all ages","diagnostic_pathway_waiting_times.csv"
5087,"diagnostics pathway waiting over 8 weeks",2020-01-01,"wales","persons","all ages","diagnostic_pathway_waiting_times.csv"
3551,"diagnostics pathway waiting over 8 weeks",2020-02-01,"wales","persons","all ages","diagnostic_pathway_waiting_times.csv"
7964,"diagnostics pathway waiting over 8 weeks",2020-03-01,"wales","persons","all ages","diagnostic_pathway_waiting_times.csv"
37080,"diagnostics pathway waiting over 8 weeks",2020-04-01,"wales","persons","all ages","diagnostic_pathway_waiting_times.csv"
